O*NET-SOC Code,Element Name,Data Value
11-1011.03,Stamina,1
11-1011.03,Extent Flexibility,1
11-1011.03,Dynamic Flexibility,1
11-1011.03,Gross Body Coordination,1
11-1011.03,Gross Body Equilibrium,1
11-1011.03,Near Vision,3.38
11-1011.03,Far Vision,2.62
11-1011.03,Visual Color Discrimination,2
11-1011.03,Night Vision,1
11-1011.03,Peripheral Vision,1
11-1011.03,Depth Perception,2
11-1011.03,Glare Sensitivity,1
11-1011.03,Hearing Sensitivity,2
11-1011.03,Auditory Attention,1.88
11-1011.03,Sound Localization,1.12
11-1011.03,Speech Recognition,4
11-1011.03,Speech Clarity,4
11-1021.00,Oral Comprehension,4
11-1021.00,Written Comprehension,4
11-1021.00,Oral Expression,4
11-1021.00,Written Expression,4
11-1021.00,Fluency of Ideas,3
11-1021.00,Originality,3
11-1021.00,Problem Sensitivity,4
11-1021.00,Deductive Reasoning,3.75
11-1021.00,Inductive Reasoning,3.12
11-1021.00,Information Ordering,3.5
11-1021.00,Category Flexibility,3
11-1021.00,Mathematical Reasoning,2.88
11-1021.00,Number Facility,2.75
11-1021.00,Memorization,2.12
11-1021.00,Speed of Closure,2.25
11-1021.00,Flexibility of Closure,2.75
11-1021.00,Perceptual Speed,2.62
11-1021.00,Spatial Orientation,1.5
11-1021.00,Visualization,2.75
11-1021.00,Selective Attention,3
11-1021.00,Time Sharing,2.88
11-1021.00,Arm-Hand Steadiness,2
11-1021.00,Manual Dexterity,1.5
11-1021.00,Finger Dexterity,1.75
11-1021.00,Control Precision,1.75
11-1021.00,Multilimb Coordination,1.88
11-1021.00,Response Orientation,1.38
11-1021.00,Rate Control,1.75
11-1021.00,Reaction Time,2.12
11-1021.00,Wrist-Finger Speed,1.38
11-1021.00,Speed of Limb Movement,1.5
11-1021.00,Static Strength,2
11-1021.00,Explosive Strength,1.5
11-1021.00,Dynamic Strength,1.62
11-1021.00,Trunk Strength,2.12
11-1021.00,Stamina,2
11-1021.00,Extent Flexibility,1.38
11-1021.00,Dynamic Flexibility,1
11-1021.00,Gross Body Coordination,1.88
11-1021.00,Gross Body Equilibrium,1.5
11-1021.00,Near Vision,3.25
11-1021.00,Far Vision,2.75
11-1021.00,Visual Color Discrimination,2
11-1021.00,Night Vision,1.38
11-1021.00,Peripheral Vision,1.5
11-1021.00,Depth Perception,2
11-1021.00,Glare Sensitivity,1.38
11-1021.00,Hearing Sensitivity,2
11-1021.00,Auditory Attention,2.12
11-1021.00,Sound Localization,1.5
11-1021.00,Speech Recognition,3.88
11-1021.00,Speech Clarity,4
11-2011.00,Oral Comprehension,4
11-2011.00,Written Comprehension,4
11-2011.00,Oral Expression,4.25
11-2011.00,Written Expression,3.88
11-2011.00,Fluency of Ideas,3.75
11-2011.00,Originality,3.75
11-2011.00,Problem Sensitivity,3.62
11-2011.00,Deductive Reasoning,3.88
11-2011.00,Inductive Reasoning,3.5
11-2011.00,Information Ordering,3.25
11-2011.00,Category Flexibility,3.38
11-2011.00,Mathematical Reasoning,3
11-2011.00,Number Facility,2.88
11-2011.00,Memorization,2.5
11-2011.00,Speed of Closure,2.62
11-2011.00,Flexibility of Closure,3.12
11-2011.00,Perceptual Speed,2.88
11-2011.00,Spatial Orientation,1
11-2011.00,Visualization,3.25
11-2011.00,Selective Attention,2.88
11-2011.00,Time Sharing,2.75
11-2011.00,Arm-Hand Steadiness,1.38
11-2011.00,Manual Dexterity,1.38
11-2011.00,Finger Dexterity,1.62
11-2011.00,Control Precision,1.12
11-2011.00,Multilimb Coordination,1
11-2011.00,Response Orientation,1
11-2011.00,Rate Control,1
11-2011.00,Reaction Time,1
11-2011.00,Wrist-Finger Speed,1.75
11-2011.00,Speed of Limb Movement,1
11-2011.00,Static Strength,1
11-2011.00,Explosive Strength,1
11-2011.00,Dynamic Strength,1
11-2011.00,Trunk Strength,1.62
11-2011.00,Stamina,1
11-2011.00,Extent Flexibility,1
11-2011.00,Dynamic Flexibility,1
11-2011.00,Gross Body Coordination,1
11-2011.00,Gross Body Equilibrium,1
11-2011.00,Near Vision,3.75
11-2011.00,Far Vision,2.88
11-2011.00,Visual Color Discrimination,2.88
11-2011.00,Night Vision,1
11-2011.00,Peripheral Vision,1
11-2011.00,Depth Perception,1.75
11-2011.00,Glare Sensitivity,1
11-2011.00,Hearing Sensitivity,1.75
11-2011.00,Auditory Attention,1.75
11-2011.00,Sound Localization,1
11-2011.00,Speech Recognition,3.88
11-2011.00,Speech Clarity,4
11-2021.00,Oral Comprehension,4
11-2021.00,Written Comprehension,4
11-2021.00,Oral Expression,4
11-2021.00,Written Expression,3.88
11-2021.00,Fluency of Ideas,3.75
11-2021.00,Originality,3.62
11-2021.00,Problem Sensitivity,3.62
11-2021.00,Deductive Reasoning,3.88
11-2021.00,Inductive Reasoning,3.75
11-2021.00,Information Ordering,3.25
11-2021.00,Category Flexibility,3.25
11-2021.00,Mathematical Reasoning,3.12
11-2021.00,Number Facility,3.12
11-2021.00,Memorization,2.62
11-2021.00,Speed of Closure,2.75
11-2021.00,Flexibility of Closure,3
11-2021.00,Perceptual Speed,2.75
11-2021.00,Spatial Orientation,1
11-2021.00,Visualization,3
11-2021.00,Selective Attention,2.88
11-2021.00,Time Sharing,2.75
11-2021.00,Arm-Hand Steadiness,1.12
11-2021.00,Manual Dexterity,1
11-2021.00,Finger Dexterity,1.75
11-2021.00,Control Precision,1
11-2021.00,Multilimb Coordination,1
11-2021.00,Response Orientation,1
11-2021.00,Rate Control,1
11-2021.00,Reaction Time,1
11-2021.00,Wrist-Finger Speed,1.62
11-2021.00,Speed of Limb Movement,1
11-2021.00,Static Strength,1
11-2021.00,Explosive Strength,1
11-2021.00,Dynamic Strength,1.25
11-2021.00,Trunk Strength,1.75
11-2021.00,Stamina,1
11-2021.00,Extent Flexibility,1
11-2021.00,Dynamic Flexibility,1
11-2021.00,Gross Body Coordination,1
11-2021.00,Gross Body Equilibrium,1
11-2021.00,Near Vision,3.5
11-2021.00,Far Vision,2.88
11-2021.00,Visual Color Discrimination,2.88
11-2021.00,Night Vision,1
11-2021.00,Peripheral Vision,1
11-2021.00,Depth Perception,1.75
11-2021.00,Glare Sensitivity,1
11-2021.00,Hearing Sensitivity,1.88
11-2021.00,Auditory Attention,1.88
11-2021.00,Sound Localization,1
11-2021.00,Speech Recognition,3.62
11-2021.00,Speech Clarity,3.75
11-2022.00,Oral Comprehension,4
11-2022.00,Written Comprehension,4
11-2022.00,Oral Expression,4
11-2022.00,Written Expression,3.88
11-2022.00,Fluency of Ideas,3.75
11-2022.00,Originality,3.62
11-2022.00,Problem Sensitivity,3.75
11-2022.00,Deductive Reasoning,3.88
11-2022.00,Inductive Reasoning,3.75
11-2022.00,Information Ordering,3.38
11-2022.00,Category Flexibility,3.25
11-2022.00,Mathematical Reasoning,3.12
11-2022.00,Number Facility,3.12
11-2022.00,Memorization,3
11-2022.00,Speed of Closure,2.75
11-2022.00,Flexibility of Closure,2.75
11-2022.00,Perceptual Speed,2.5
11-2022.00,Spatial Orientation,1.5
11-2022.00,Visualization,2.38
11-2022.00,Selective Attention,2.62
11-2022.00,Time Sharing,2.62
11-2022.00,Arm-Hand Steadiness,1.38
11-2022.00,Manual Dexterity,1.5
11-2022.00,Finger Dexterity,1.75
11-2022.00,Control Precision,1.62
11-2022.00,Multilimb Coordination,1.5
11-2022.00,Response Orientation,1.38
11-2022.00,Rate Control,1.12
11-2022.00,Reaction Time,1.12
11-2022.00,Wrist-Finger Speed,1.5
11-2022.00,Speed of Limb Movement,1.12
11-2022.00,Static Strength,1
11-2022.00,Explosive Strength,1
11-2022.00,Dynamic Strength,1
11-2022.00,Trunk Strength,1.75
11-2022.00,Stamina,1
11-2022.00,Extent Flexibility,1
11-2022.00,Dynamic Flexibility,1
11-2022.00,Gross Body Coordination,1
11-2022.00,Gross Body Equilibrium,1
11-2022.00,Near Vision,3.25
11-2022.00,Far Vision,2.62
11-2022.00,Visual Color Discrimination,1.88
11-2022.00,Night Vision,1.12
11-2022.00,Peripheral Vision,1.12
11-2022.00,Depth Perception,1.62
11-2022.00,Glare Sensitivity,1.12
11-2022.00,Hearing Sensitivity,1.75
11-2022.00,Auditory Attention,2
11-2022.00,Sound Localization,1.12
11-2022.00,Speech Recognition,3.88
11-2022.00,Speech Clarity,3.88
11-2031.00,Oral Comprehension,4
11-2031.00,Written Comprehension,4
11-2031.00,Oral Expression,4.25
11-2031.00,Written Expression,4.12
11-2031.00,Fluency of Ideas,4
11-2031.00,Originality,3.62
11-2031.00,Problem Sensitivity,3.88
11-2031.00,Deductive Reasoning,3.88
11-2031.00,Inductive Reasoning,3.88
11-2031.00,Information Ordering,3.62
11-2031.00,Category Flexibility,3.25
11-2031.00,Mathematical Reasoning,2.75
11-2031.00,Number Facility,2.88
11-2031.00,Memorization,2.62
11-2031.00,Speed of Closure,2.75
11-2031.00,Flexibility of Closure,2.75
11-2031.00,Perceptual Speed,2.38
11-2031.00,Spatial Orientation,1
11-2031.00,Visualization,2.88
11-2031.00,Selective Attention,2.88
11-2031.00,Time Sharing,2.88
11-2031.00,Arm-Hand Steadiness,1
11-2031.00,Manual Dexterity,1
11-2031.00,Finger Dexterity,1.88
11-2031.00,Control Precision,1
11-2031.00,Multilimb Coordination,1
11-2031.00,Response Orientation,1
11-2031.00,Rate Control,1
11-2031.00,Reaction Time,1
11-2031.00,Wrist-Finger Speed,1.5
11-2031.00,Speed of Limb Movement,1
11-2031.00,Static Strength,1
11-2031.00,Explosive Strength,1
11-2031.00,Dynamic Strength,1
11-2031.00,Trunk Strength,1.75
11-2031.00,Stamina,1
11-2031.00,Extent Flexibility,1
11-2031.00,Dynamic Flexibility,1
11-2031.00,Gross Body Coordination,1
11-2031.00,Gross Body Equilibrium,1
11-2031.00,Near Vision,3.5
11-2031.00,Far Vision,2.75
11-2031.00,Visual Color Discrimination,2.25
11-2031.00,Night Vision,1
11-2031.00,Peripheral Vision,1
11-2031.00,Depth Perception,1.75
11-2031.00,Glare Sensitivity,1
11-2031.00,Hearing Sensitivity,1.75
11-2031.00,Auditory Attention,1.75
11-2031.00,Sound Localization,1
11-2031.00,Speech Recognition,3.75
11-2031.00,Speech Clarity,3.88
11-3011.00,Oral Comprehension,4
11-3011.00,Written Comprehension,4
11-3011.00,Oral Expression,4
11-3011.00,Written Expression,3.88
11-3011.00,Fluency of Ideas,3.12
11-3011.00,Originality,3
11-3011.00,Problem Sensitivity,3.5
11-3011.00,Deductive Reasoning,3.62
11-3011.00,Inductive Reasoning,3.5
11-3011.00,Information Ordering,3.12
11-3011.00,Category Flexibility,3.12
11-3011.00,Mathematical Reasoning,2.62
11-3011.00,Number Facility,2.75
11-3011.00,Memorization,2.62
11-3011.00,Speed of Closure,2.12
11-3011.00,Flexibility of Closure,2.88
11-3011.00,Perceptual Speed,2.75
11-3011.00,Spatial Orientation,1.5
11-3011.00,Visualization,2.88
11-3011.00,Selective Attention,3.12
11-3011.00,Time Sharing,3.12
11-3011.00,Arm-Hand Steadiness,2.12
11-3011.00,Manual Dexterity,2
11-3011.00,Finger Dexterity,2.5
11-3011.00,Control Precision,2
11-3011.00,Multilimb Coordination,1.62
11-3011.00,Response Orientation,1.5
11-3011.00,Rate Control,1.62
11-3011.00,Reaction Time,1.5
11-3011.00,Wrist-Finger Speed,1.25
11-3011.00,Speed of Limb Movement,1
11-3011.00,Static Strength,1.62
11-3011.00,Explosive Strength,1.5
11-3011.00,Dynamic Strength,1.5
11-3011.00,Trunk Strength,1.75
11-3011.00,Stamina,1.38
11-3011.00,Extent Flexibility,1.5
11-3011.00,Dynamic Flexibility,1
11-3011.00,Gross Body Coordination,1.5
11-3011.00,Gross Body Equilibrium,1.5
11-3011.00,Near Vision,3.62
11-3011.00,Far Vision,2.75
11-3011.00,Visual Color Discrimination,2
11-3011.00,Night Vision,1.5
11-3011.00,Peripheral Vision,1.5
11-3011.00,Depth Perception,2
11-3011.00,Glare Sensitivity,1.5
11-3011.00,Hearing Sensitivity,2.12
11-3011.00,Auditory Attention,2.25
11-3011.00,Sound Localization,1.5
11-3011.00,Speech Recognition,3.62
11-3011.00,Speech Clarity,3.62
11-3021.00,Oral Comprehension,4
11-3021.00,Written Comprehension,4
11-3021.00,Oral Expression,4
11-3021.00,Written Expression,3.75
11-3021.00,Fluency of Ideas,3.38
11-3021.00,Originality,3.25
11-3021.00,Problem Sensitivity,4
11-3021.00,Deductive Reasoning,4
11-3021.00,Inductive Reasoning,4
11-3021.00,Information Ordering,3.75
11-3021.00,Category Flexibility,3.25
11-3021.00,Mathematical Reasoning,3
11-3021.00,Number Facility,3.12
11-3021.00,Memorization,2.62
11-3021.00,Speed of Closure,2.75
11-3021.00,Flexibility of Closure,3
11-3021.00,Perceptual Speed,2.75
11-3021.00,Spatial Orientation,1.12
11-3021.00,Visualization,3
11-3021.00,Selective Attention,2.88
11-3021.00,Time Sharing,2.62
11-3021.00,Arm-Hand Steadiness,2.25
11-3021.00,Manual Dexterity,2.12
11-3021.00,Finger Dexterity,2.12
11-3021.00,Control Precision,2
11-3021.00,Multilimb Coordination,1.38
11-3021.00,Response Orientation,1.25
11-3021.00,Rate Control,1.25
11-3021.00,Reaction Time,1.25
11-3021.00,Wrist-Finger Speed,2
11-3021.00,Speed of Limb Movement,1
11-3021.00,Static Strength,1
11-3021.00,Explosive Strength,1
11-3021.00,Dynamic Strength,1.5
11-3021.00,Trunk Strength,1.75
11-3021.00,Stamina,1
11-3021.00,Extent Flexibility,1
11-3021.00,Dynamic Flexibility,1
11-3021.00,Gross Body Coordination,1
11-3021.00,Gross Body Equilibrium,1
11-3021.00,Near Vision,3.75
11-3021.00,Far Vision,2.75
11-3021.00,Visual Color Discrimination,2.38
11-3021.00,Night Vision,1
11-3021.00,Peripheral Vision,1
11-3021.00,Depth Perception,1.75
11-3021.00,Glare Sensitivity,1.12
11-3021.00,Hearing Sensitivity,1.75
11-3021.00,Auditory Attention,2
11-3021.00,Sound Localization,1
11-3021.00,Speech Recognition,3.38
11-3021.00,Speech Clarity,3.62
11-3031.01,Oral Comprehension,4
11-3031.01,Written Comprehension,4
11-3031.01,Oral Expression,4
11-3031.01,Written Expression,3.88
11-3031.01,Fluency of Ideas,3.12
11-3031.01,Originality,3.12
11-3031.01,Problem Sensitivity,4
11-3031.01,Deductive Reasoning,4.12
11-3031.01,Inductive Reasoning,4.12
11-3031.01,Information Ordering,3.75
11-3031.01,Category Flexibility,3.5
11-3031.01,Mathematical Reasoning,3.88
11-3031.01,Number Facility,3.75
11-3031.01,Memorization,2.75
11-3031.01,Speed of Closure,3.12
11-3031.01,Flexibility of Closure,3
11-3031.01,Perceptual Speed,3
11-3031.01,Spatial Orientation,1
11-3031.01,Visualization,2.62
11-3031.01,Selective Attention,2.75
11-3031.01,Time Sharing,2.5
11-3031.01,Arm-Hand Steadiness,1
11-3031.01,Manual Dexterity,1
11-3031.01,Finger Dexterity,2.62
11-3031.01,Control Precision,1
11-3031.01,Multilimb Coordination,1
11-3031.01,Response Orientation,1
11-3031.01,Rate Control,1
11-3031.01,Reaction Time,1
11-3031.01,Wrist-Finger Speed,1
11-3031.01,Speed of Limb Movement,1
11-3031.01,Static Strength,1
11-3031.01,Explosive Strength,1
11-3031.01,Dynamic Strength,1
11-3031.01,Trunk Strength,1.25
11-3031.01,Stamina,1
11-3031.01,Extent Flexibility,1
11-3031.01,Dynamic Flexibility,1
11-3031.01,Gross Body Coordination,1
11-3031.01,Gross Body Equilibrium,1
11-3031.01,Near Vision,3.88
11-3031.01,Far Vision,2.75
11-3031.01,Visual Color Discrimination,1.88
11-3031.01,Night Vision,1
11-3031.01,Peripheral Vision,1
11-3031.01,Depth Perception,1.62
11-3031.01,Glare Sensitivity,1
11-3031.01,Hearing Sensitivity,1.75
11-3031.01,Auditory Attention,1.75
11-3031.01,Sound Localization,1
11-3031.01,Speech Recognition,3.75
11-3031.01,Speech Clarity,3.75
11-3031.02,Oral Comprehension,4
11-3031.02,Written Comprehension,4
11-3031.02,Oral Expression,4.12
11-3031.02,Written Expression,3.88
11-3031.02,Fluency of Ideas,3.38
11-3031.02,Originality,3
11-3031.02,Problem Sensitivity,4
11-3031.02,Deductive Reasoning,4
11-3031.02,Inductive Reasoning,3.88
11-3031.02,Information Ordering,3.62
11-3031.02,Category Flexibility,3.25
11-3031.02,Mathematical Reasoning,3.62
11-3031.02,Number Facility,3.12
11-3031.02,Memorization,3
11-3031.02,Speed of Closure,2.38
11-3031.02,Flexibility of Closure,2.88
11-3031.02,Perceptual Speed,2.88
11-3031.02,Spatial Orientation,1
11-3031.02,Visualization,2
11-3031.02,Selective Attention,2.88
11-3031.02,Time Sharing,3
11-3031.02,Arm-Hand Steadiness,1.25
11-3031.02,Manual Dexterity,1.38
11-3031.02,Finger Dexterity,2
11-3031.02,Control Precision,1.38
11-3031.02,Multilimb Coordination,1
11-3031.02,Response Orientation,1
11-3031.02,Rate Control,1
11-3031.02,Reaction Time,1
11-3031.02,Wrist-Finger Speed,1
11-3031.02,Speed of Limb Movement,1
11-3031.02,Static Strength,1
11-3031.02,Explosive Strength,1
11-3031.02,Dynamic Strength,1
11-3031.02,Trunk Strength,1
11-3031.02,Stamina,1
11-3031.02,Extent Flexibility,1
11-3031.02,Dynamic Flexibility,1
11-3031.02,Gross Body Coordination,1
11-3031.02,Gross Body Equilibrium,1
11-3031.02,Near Vision,3.88
11-3031.02,Far Vision,2.5
11-3031.02,Visual Color Discrimination,1.75
11-3031.02,Night Vision,1
11-3031.02,Peripheral Vision,1.12
11-3031.02,Depth Perception,1
11-3031.02,Glare Sensitivity,1
11-3031.02,Hearing Sensitivity,1.62
11-3031.02,Auditory Attention,2.12
11-3031.02,Sound Localization,1
11-3031.02,Speech Recognition,4
11-3031.02,Speech Clarity,4
11-3051.00,Oral Comprehension,4
11-3051.00,Written Comprehension,3.88
11-3051.00,Oral Expression,3.88
11-3051.00,Written Expression,3.38
11-3051.00,Fluency of Ideas,3.5
11-3051.00,Originality,3.25
11-3051.00,Problem Sensitivity,4
11-3051.00,Deductive Reasoning,4
11-3051.00,Inductive Reasoning,3.88
11-3051.00,Information Ordering,3.88
11-3051.00,Category Flexibility,3.38
11-3051.00,Mathematical Reasoning,3.12
11-3051.00,Number Facility,3.25
11-3051.00,Memorization,2.75
11-3051.00,Speed of Closure,2.88
11-3051.00,Flexibility of Closure,3
11-3051.00,Perceptual Speed,3
11-3051.00,Spatial Orientation,1.12
11-3051.00,Visualization,2.88
11-3051.00,Selective Attention,3
11-3051.00,Time Sharing,2.75
11-3051.00,Arm-Hand Steadiness,2
11-3051.00,Manual Dexterity,1.88
11-3051.00,Finger Dexterity,2.62
11-3051.00,Control Precision,2
11-3051.00,Multilimb Coordination,1.88
11-3051.00,Response Orientation,1.88
11-3051.00,Rate Control,2.12
11-3051.00,Reaction Time,2.25
11-3051.00,Wrist-Finger Speed,2
11-3051.00,Speed of Limb Movement,2
11-3051.00,Static Strength,1.88
11-3051.00,Explosive Strength,1
11-3051.00,Dynamic Strength,1.5
11-3051.00,Trunk Strength,2.12
11-3051.00,Stamina,2
11-3051.00,Extent Flexibility,1.75
11-3051.00,Dynamic Flexibility,1
11-3051.00,Gross Body Coordination,2
11-3051.00,Gross Body Equilibrium,1.25
11-3051.00,Near Vision,3.38
11-3051.00,Far Vision,3
11-3051.00,Visual Color Discrimination,2.5
11-3051.00,Night Vision,1
11-3051.00,Peripheral Vision,1
11-3051.00,Depth Perception,2.12
11-3051.00,Glare Sensitivity,1
11-3051.00,Hearing Sensitivity,2.12
11-3051.00,Auditory Attention,2.75
11-3051.00,Sound Localization,1.12
11-3051.00,Speech Recognition,3.5
11-3051.00,Speech Clarity,3.62
11-3051.01,Oral Comprehension,4
11-3051.01,Written Comprehension,4.12
11-3051.01,Oral Expression,4.12
11-3051.01,Written Expression,3.88
11-3051.01,Fluency of Ideas,3
11-3051.01,Originality,3
11-3051.01,Problem Sensitivity,4.25
11-3051.01,Deductive Reasoning,3.88
11-3051.01,Inductive Reasoning,3.62
11-3051.01,Information Ordering,3.38
11-3051.01,Category Flexibility,3.25
11-3051.01,Mathematical Reasoning,3.25
11-3051.01,Number Facility,3.12
11-3051.01,Memorization,2.75
11-3051.01,Speed of Closure,2.75
11-3051.01,Flexibility of Closure,3.38
11-3051.01,Perceptual Speed,3.12
11-3051.01,Spatial Orientation,1.12
11-3051.01,Visualization,2.62
11-3051.01,Selective Attention,3.25
11-3051.01,Time Sharing,2.88
11-3051.01,Arm-Hand Steadiness,2.88
11-3051.01,Manual Dexterity,2.75
11-3051.01,Finger Dexterity,3
11-3051.01,Control Precision,2.62
11-3051.01,Multilimb Coordination,2.12
11-3051.01,Response Orientation,1.88
11-3051.01,Rate Control,1.75
11-3051.01,Reaction Time,1.88
11-3051.01,Wrist-Finger Speed,1.75
11-3051.01,Speed of Limb Movement,1
11-3051.01,Static Strength,1.75
11-3051.01,Explosive Strength,1
11-3051.01,Dynamic Strength,1.75
11-3051.01,Trunk Strength,2
11-3051.01,Stamina,1.88
11-3051.01,Extent Flexibility,1.75
11-3051.01,Dynamic Flexibility,1
11-3051.01,Gross Body Coordination,1.62
11-3051.01,Gross Body Equilibrium,1.62
11-3051.01,Near Vision,3.88
11-3051.01,Far Vision,3.12
11-3051.01,Visual Color Discrimination,3.12
11-3051.01,Night Vision,1
11-3051.01,Peripheral Vision,1
11-3051.01,Depth Perception,2.38
11-3051.01,Glare Sensitivity,1
11-3051.01,Hearing Sensitivity,2.38
11-3051.01,Auditory Attention,2.5
11-3051.01,Sound Localization,1
11-3051.01,Speech Recognition,3.38
11-3051.01,Speech Clarity,3.62
11-3051.02,Oral Comprehension,4.12
11-3051.02,Written Comprehension,3.62
11-3051.02,Oral Expression,4.12
11-3051.02,Written Expression,3.62
11-3051.02,Fluency of Ideas,3
11-3051.02,Originality,2.88
11-3051.02,Problem Sensitivity,4
11-3051.02,Deductive Reasoning,4
11-3051.02,Inductive Reasoning,3.88
11-3051.02,Information Ordering,3.5
11-3051.02,Category Flexibility,3.25
11-3051.02,Mathematical Reasoning,3.25
11-3051.02,Number Facility,3.12
11-3051.02,Memorization,2.5
11-3051.02,Speed of Closure,2.62
11-3051.02,Flexibility of Closure,3.12
11-3051.02,Perceptual Speed,3
11-3051.02,Spatial Orientation,2
11-3051.02,Visualization,3
11-3051.02,Selective Attention,3
11-3051.02,Time Sharing,2.75
11-3051.02,Arm-Hand Steadiness,2.38
11-3051.02,Manual Dexterity,2.25
11-3051.02,Finger Dexterity,2.88
11-3051.02,Control Precision,2.62
11-3051.02,Multilimb Coordination,2.5
11-3051.02,Response Orientation,2
11-3051.02,Rate Control,2
11-3051.02,Reaction Time,2.12
11-3051.02,Wrist-Finger Speed,1.25
11-3051.02,Speed of Limb Movement,1.62
11-3051.02,Static Strength,1.25
11-3051.02,Explosive Strength,1.12
11-3051.02,Dynamic Strength,1.25
11-3051.02,Trunk Strength,2.12
11-3051.02,Stamina,1.12
11-3051.02,Extent Flexibility,1.25
11-3051.02,Dynamic Flexibility,1.12
11-3051.02,Gross Body Coordination,1.25
11-3051.02,Gross Body Equilibrium,1.88
11-3051.02,Near Vision,3.38
11-3051.02,Far Vision,3.12
11-3051.02,Visual Color Discrimination,2.88
11-3051.02,Night Vision,1.5
11-3051.02,Peripheral Vision,1.75
11-3051.02,Depth Perception,2.38
11-3051.02,Glare Sensitivity,1.62
11-3051.02,Hearing Sensitivity,2.62
11-3051.02,Auditory Attention,2.5
11-3051.02,Sound Localization,1.62
11-3051.02,Speech Recognition,3.75
11-3051.02,Speech Clarity,3.5
11-3051.03,Oral Comprehension,4.12
11-3051.03,Written Comprehension,4
11-3051.03,Oral Expression,4
11-3051.03,Written Expression,3.75
11-3051.03,Fluency of Ideas,3.12
11-3051.03,Originality,3.12
11-3051.03,Problem Sensitivity,3.75
11-3051.03,Deductive Reasoning,3.75
11-3051.03,Inductive Reasoning,3.5
11-3051.03,Information Ordering,3.12
11-3051.03,Category Flexibility,3.12
11-3051.03,Mathematical Reasoning,3.12
11-3051.03,Number Facility,2.88
11-3051.03,Memorization,2.62
11-3051.03,Speed of Closure,2.88
11-3051.03,Flexibility of Closure,3.25
11-3051.03,Perceptual Speed,3.25
11-3051.03,Spatial Orientation,1.12
11-3051.03,Visualization,2.75
11-3051.03,Selective Attention,3.5
11-3051.03,Time Sharing,3.25
11-3051.03,Arm-Hand Steadiness,2.75
11-3051.03,Manual Dexterity,2.38
11-3051.03,Finger Dexterity,2.25
11-3051.03,Control Precision,2.38
