O*NET-SOC Code,Element Name,Data Value
11-1021.00,Chemistry,1.95
11-1021.00,Biology,1.5
11-1021.00,Psychology,2.72
11-1021.00,Sociology and Anthropology,1.81
11-1021.00,Geography,1.76
11-1021.00,Medicine and Dentistry,1.55
11-1021.00,Therapy and Counseling,1.77
11-1021.00,Education and Training,2.97
11-1021.00,English Language,3.71
11-1021.00,Foreign Language,1.62
11-1021.00,Fine Arts,1.16
11-1021.00,History and Archeology,1.21
11-1021.00,Philosophy and Theology,1.51
11-1021.00,Public Safety and Security,3.1
11-1021.00,Law and Government,2.95
11-1021.00,Telecommunications,2.5
11-1021.00,Communications and Media,2.59
11-1021.00,Transportation,2.2
11-2011.00,Administration and Management,4.12
11-2011.00,Clerical,3.25
11-2011.00,Economics and Accounting,3.04
11-2011.00,Sales and Marketing,4.68
11-2011.00,Customer and Personal Service,4.16
11-2011.00,Personnel and Human Resources,2.6
11-2011.00,Production and Processing,2.58
11-2011.00,Food Production,1.04
11-2011.00,Computers and Electronics,3.31
11-2011.00,Engineering and Technology,1.91
11-2011.00,Design,2.79
11-2011.00,Building and Construction,1.44
11-2011.00,Mechanical,1.41
11-2011.00,Mathematics,3.16
11-2011.00,Physics,1.34
11-2011.00,Chemistry,1.22
11-2011.00,Biology,1.23
11-2011.00,Psychology,2.87
11-2011.00,Sociology and Anthropology,2.5
11-2011.00,Geography,1.99
11-2011.00,Medicine and Dentistry,1.42
11-2011.00,Therapy and Counseling,1.75
11-2011.00,Education and Training,2.94
11-2011.00,English Language,4.41
11-2011.00,Foreign Language,1.58
11-2011.00,Fine Arts,2.35
11-2011.00,History and Archeology,1.67
11-2011.00,Philosophy and Theology,1.89
11-2011.00,Public Safety and Security,2.47
11-2011.00,Law and Government,2.23
11-2011.00,Telecommunications,2.4
11-2011.00,Communications and Media,4.35
11-2011.00,Transportation,1.95
11-2021.00,Administration and Management,4.04
11-2021.00,Clerical,3.01
11-2021.00,Economics and Accounting,3.1
11-2021.00,Sales and Marketing,4.85
11-2021.00,Customer and Personal Service,3.85
11-2021.00,Personnel and Human Resources,2.71
11-2021.00,Production and Processing,2.46
11-2021.00,Food Production,1.12
11-2021.00,Computers and Electronics,3.51
11-2021.00,Engineering and Technology,2.77
11-2021.00,Design,3.15
11-2021.00,Building and Construction,1.19
11-2021.00,Mechanical,1.33
11-2021.00,Mathematics,3.51
11-2021.00,Physics,1.18
11-2021.00,Chemistry,1.21
11-2021.00,Biology,1.1
11-2021.00,Psychology,2.45
11-2021.00,Sociology and Anthropology,2.03
11-2021.00,Geography,2.2
11-2021.00,Medicine and Dentistry,1.26
11-2021.00,Therapy and Counseling,1.63
11-2021.00,Education and Training,3.03
11-2021.00,English Language,4.48
11-2021.00,Foreign Language,1.64
11-2021.00,Fine Arts,1.7
11-2021.00,History and Archeology,1.68
11-2021.00,Philosophy and Theology,1.64
11-2021.00,Public Safety and Security,2.5
11-2021.00,Law and Government,2.86
11-2021.00,Telecommunications,2.86
11-2021.00,Communications and Media,3.8
11-2021.00,Transportation,1.68
11-2022.00,Administration and Management,4
11-2022.00,Clerical,2.91
11-2022.00,Economics and Accounting,2.91
11-2022.00,Sales and Marketing,4.7
11-2022.00,Customer and Personal Service,4.48
11-2022.00,Personnel and Human Resources,3.04
11-2022.00,Production and Processing,2.65
11-2022.00,Food Production,1.04
11-2022.00,Computers and Electronics,3.17
11-2022.00,Engineering and Technology,2.13
11-2022.00,Design,1.83
11-2022.00,Building and Construction,1.65
11-2022.00,Mechanical,1.87
11-2022.00,Mathematics,3.09
11-2022.00,Physics,1.52
11-2022.00,Chemistry,1.39
11-2022.00,Biology,1.35
11-2022.00,Psychology,2.68
11-2022.00,Sociology and Anthropology,1.86
11-2022.00,Geography,2.26
11-2022.00,Medicine and Dentistry,1.04
11-2022.00,Therapy and Counseling,1.57
11-2022.00,Education and Training,3.35
11-2022.00,English Language,4.32
11-2022.00,Foreign Language,1.78
11-2022.00,Fine Arts,1.35
11-2022.00,History and Archeology,1.22
11-2022.00,Philosophy and Theology,1.57
11-2022.00,Public Safety and Security,1.87
11-2022.00,Law and Government,2.04
11-2022.00,Telecommunications,2.73
11-2022.00,Communications and Media,3.17
11-2022.00,Transportation,2.22
11-2031.00,Administration and Management,3.85
11-2031.00,Clerical,3.1
11-2031.00,Economics and Accounting,2.92
11-2031.00,Sales and Marketing,4.44
11-2031.00,Customer and Personal Service,4.36
11-2031.00,Personnel and Human Resources,2.92
11-2031.00,Production and Processing,1.45
11-2031.00,Food Production,1.04
11-2031.00,Computers and Electronics,2.34
11-2031.00,Engineering and Technology,1.31
11-2031.00,Design,1.25
11-2031.00,Building and Construction,1.18
11-2031.00,Mechanical,1.05
11-2031.00,Mathematics,2.81
11-2031.00,Physics,1.13
11-2031.00,Chemistry,1.22
11-2031.00,Biology,1.13
11-2031.00,Psychology,3.02
11-2031.00,Sociology and Anthropology,2.6
11-2031.00,Geography,1.62
11-2031.00,Medicine and Dentistry,1.63
11-2031.00,Therapy and Counseling,1.83
11-2031.00,Education and Training,2.88
11-2031.00,English Language,4.36
11-2031.00,Foreign Language,1.43
11-2031.00,Fine Arts,2.39
11-2031.00,History and Archeology,1.79
11-2031.00,Philosophy and Theology,1.86
11-2031.00,Public Safety and Security,2.12
11-2031.00,Law and Government,2.62
11-2031.00,Telecommunications,1.79
11-2031.00,Communications and Media,3.99
11-2031.00,Transportation,1.53
11-3011.00,Administration and Management,4.24
11-3011.00,Clerical,3.9
11-3011.00,Economics and Accounting,2.92
11-3011.00,Sales and Marketing,1.95
11-3011.00,Customer and Personal Service,4.44
11-3011.00,Personnel and Human Resources,3.35
11-3011.00,Production and Processing,2.89
11-3011.00,Food Production,1.27
11-3011.00,Computers and Electronics,3.35
11-3011.00,Engineering and Technology,2.06
11-3011.00,Design,2.1
11-3011.00,Building and Construction,2.29
11-3011.00,Mechanical,2.33
11-3011.00,Mathematics,3.26
11-3011.00,Physics,1.6
11-3011.00,Chemistry,1.52
11-3011.00,Biology,1.37
11-3011.00,Psychology,2.07
11-3011.00,Sociology and Anthropology,1.76
11-3011.00,Geography,1.51
11-3011.00,Medicine and Dentistry,1.78
11-3011.00,Therapy and Counseling,1.74
11-3011.00,Education and Training,2.84
11-3011.00,English Language,4.03
11-3011.00,Foreign Language,1.37
11-3011.00,Fine Arts,1.13
11-3011.00,History and Archeology,1.42
11-3011.00,Philosophy and Theology,1.49
11-3011.00,Public Safety and Security,3.29
11-3011.00,Law and Government,2.88
11-3011.00,Telecommunications,2.63
11-3011.00,Communications and Media,2.4
11-3011.00,Transportation,1.94
11-3021.00,Administration and Management,3.7
11-3021.00,Clerical,2.48
11-3021.00,Economics and Accounting,2.15
11-3021.00,Sales and Marketing,1.92
11-3021.00,Customer and Personal Service,4.05
11-3021.00,Personnel and Human Resources,3.42
11-3021.00,Production and Processing,1.78
11-3021.00,Food Production,1
11-3021.00,Computers and Electronics,4.77
11-3021.00,Engineering and Technology,3.5
11-3021.00,Design,2.61
11-3021.00,Building and Construction,1.24
11-3021.00,Mechanical,1.38
11-3021.00,Mathematics,3.16
11-3021.00,Physics,1.61
11-3021.00,Chemistry,1.23
11-3021.00,Biology,1.01
11-3021.00,Psychology,2.22
11-3021.00,Sociology and Anthropology,1.9
11-3021.00,Geography,2.24
11-3021.00,Medicine and Dentistry,1.02
11-3021.00,Therapy and Counseling,1.44
11-3021.00,Education and Training,3.05
11-3021.00,English Language,3.48
11-3021.00,Foreign Language,1.28
11-3021.00,Fine Arts,1.42
11-3021.00,History and Archeology,1.03
11-3021.00,Philosophy and Theology,1.23
11-3021.00,Public Safety and Security,1.94
11-3021.00,Law and Government,2.12
11-3021.00,Telecommunications,2.63
11-3021.00,Communications and Media,2.16
11-3021.00,Transportation,1.18
11-3031.01,Administration and Management,4.2
11-3031.01,Clerical,2.3
11-3031.01,Economics and Accounting,4.8
11-3031.01,Sales and Marketing,1.83
11-3031.01,Customer and Personal Service,2.6
11-3031.01,Personnel and Human Resources,3.47
11-3031.01,Production and Processing,2.24
11-3031.01,Food Production,1.1
11-3031.01,Computers and Electronics,3.1
11-3031.01,Engineering and Technology,1.53
11-3031.01,Design,1.47
11-3031.01,Building and Construction,1.4
11-3031.01,Mechanical,1.27
11-3031.01,Mathematics,4
11-3031.01,Physics,1.13
11-3031.01,Chemistry,1.2
11-3031.01,Biology,1.23
11-3031.01,Psychology,2.33
11-3031.01,Sociology and Anthropology,1.93
11-3031.01,Geography,1.53
11-3031.01,Medicine and Dentistry,1.57
11-3031.01,Therapy and Counseling,1.57
11-3031.01,Education and Training,2.5
11-3031.01,English Language,3.97
11-3031.01,Foreign Language,1.47
11-3031.01,Fine Arts,1.2
11-3031.01,History and Archeology,1.5
11-3031.01,Philosophy and Theology,1.43
11-3031.01,Public Safety and Security,2.03
11-3031.01,Law and Government,3.53
11-3031.01,Telecommunications,1.97
11-3031.01,Communications and Media,2.43
11-3031.01,Transportation,1.59
11-3031.02,Administration and Management,3.93
11-3031.02,Clerical,2.92
11-3031.02,Economics and Accounting,3.96
11-3031.02,Sales and Marketing,3.15
11-3031.02,Customer and Personal Service,3.6
11-3031.02,Personnel and Human Resources,2.84
11-3031.02,Production and Processing,1.75
11-3031.02,Food Production,1
11-3031.02,Computers and Electronics,2.77
11-3031.02,Engineering and Technology,1.23
11-3031.02,Design,1.28
11-3031.02,Building and Construction,1.37
11-3031.02,Mechanical,1.3
11-3031.02,Mathematics,3.62
11-3031.02,Physics,1
11-3031.02,Chemistry,1.02
11-3031.02,Biology,1.02
11-3031.02,Psychology,2.79
11-3031.02,Sociology and Anthropology,1.96
11-3031.02,Geography,1.18
11-3031.02,Medicine and Dentistry,1.02
11-3031.02,Therapy and Counseling,1.37
11-3031.02,Education and Training,2.53
11-3031.02,English Language,3.31
11-3031.02,Foreign Language,1.19
11-3031.02,Fine Arts,1.21
11-3031.02,History and Archeology,1.03
11-3031.02,Philosophy and Theology,1.14
11-3031.02,Public Safety and Security,1.96
11-3031.02,Law and Government,3.09
11-3031.02,Telecommunications,1.93
11-3031.02,Communications and Media,2.54
11-3031.02,Transportation,1.44
11-3051.00,Administration and Management,4.5
11-3051.00,Clerical,3.06
11-3051.00,Economics and Accounting,2.77
11-3051.00,Sales and Marketing,2.37
11-3051.00,Customer and Personal Service,4.07
11-3051.00,Personnel and Human Resources,3.9
11-3051.00,Production and Processing,4.8
11-3051.00,Food Production,1.31
11-3051.00,Computers and Electronics,3.25
11-3051.00,Engineering and Technology,3.49
11-3051.00,Design,2.58
11-3051.00,Building and Construction,1.69
11-3051.00,Mechanical,3.41
11-3051.00,Mathematics,3.56
11-3051.00,Physics,2.09
11-3051.00,Chemistry,2.01
11-3051.00,Biology,1.27
11-3051.00,Psychology,3
11-3051.00,Sociology and Anthropology,1.95
11-3051.00,Geography,1.52
11-3051.00,Medicine and Dentistry,1.39
11-3051.00,Therapy and Counseling,1.55
11-3051.00,Education and Training,3.29
11-3051.00,English Language,3.55
11-3051.00,Foreign Language,1.3
11-3051.00,Fine Arts,1.05
11-3051.00,History and Archeology,1.13
11-3051.00,Philosophy and Theology,1.54
11-3051.00,Public Safety and Security,2.94
11-3051.00,Law and Government,2.52
11-3051.00,Telecommunications,1.81
11-3051.00,Communications and Media,2.35
11-3051.00,Transportation,2.44
11-3051.01,Administration and Management,3.85
11-3051.01,Clerical,3.77
11-3051.01,Economics and Accounting,2.18
11-3051.01,Sales and Marketing,1.96
11-3051.01,Customer and Personal Service,3.54
11-3051.01,Personnel and Human Resources,3.48
11-3051.01,Production and Processing,3.35
11-3051.01,Food Production,1.8
11-3051.01,Computers and Electronics,3.05
11-3051.01,Engineering and Technology,2.48
11-3051.01,Design,1.96
11-3051.01,Building and Construction,1.56
11-3051.01,Mechanical,2.06
11-3051.01,Mathematics,3.56
11-3051.01,Physics,2.15
11-3051.01,Chemistry,3.76
11-3051.01,Biology,3.11
11-3051.01,Psychology,2.44
11-3051.01,Sociology and Anthropology,1.7
11-3051.01,Geography,1.51
11-3051.01,Medicine and Dentistry,1.88
11-3051.01,Therapy and Counseling,1.63
11-3051.01,Education and Training,3.2
11-3051.01,English Language,3.72
11-3051.01,Foreign Language,1.43
11-3051.01,Fine Arts,1
11-3051.01,History and Archeology,1.03
11-3051.01,Philosophy and Theology,1.15
11-3051.01,Public Safety and Security,2.44
11-3051.01,Law and Government,2.92
11-3051.01,Telecommunications,1.4
11-3051.01,Communications and Media,2.24
11-3051.01,Transportation,1.81
11-3051.02,Administration and Management,4.21
11-3051.02,Clerical,3.45
11-3051.02,Economics and Accounting,3.07
11-3051.02,Sales and Marketing,1.79
11-3051.02,Customer and Personal Service,2.93
11-3051.02,Personnel and Human Resources,3.69
11-3051.02,Production and Processing,4
11-3051.02,Food Production,1.14
11-3051.02,Computers and Electronics,3.36
11-3051.02,Engineering and Technology,3.81
11-3051.02,Design,3.5
11-3051.02,Building and Construction,3.25
11-3051.02,Mechanical,4.4
11-3051.02,Mathematics,3.89
11-3051.02,Physics,3.54
11-3051.02,Chemistry,3.46
11-3051.02,Biology,2.21
11-3051.02,Psychology,2.94
11-3051.02,Sociology and Anthropology,2.12
11-3051.02,Geography,2.01
11-3051.02,Medicine and Dentistry,1.86
11-3051.02,Therapy and Counseling,2.27
11-3051.02,Education and Training,3.55
11-3051.02,English Language,3.75
11-3051.02,Foreign Language,1.77
11-3051.02,Fine Arts,1.15
11-3051.02,History and Archeology,1.64
11-3051.02,Philosophy and Theology,2.02
11-3051.02,Public Safety and Security,3.9
11-3051.02,Law and Government,3.36
11-3051.02,Telecommunications,2.8
11-3051.02,Communications and Media,2.41
11-3051.02,Transportation,2.63
11-3051.03,Administration and Management,4.08
11-3051.03,Clerical,3.26
11-3051.03,Economics and Accounting,3.01
11-3051.03,Sales and Marketing,2.44
11-3051.03,Customer and Personal Service,3.04
11-3051.03,Personnel and Human Resources,3.32
11-3051.03,Production and Processing,4.73
11-3051.03,Food Production,2.71
11-3051.03,Computers and Electronics,3.33
11-3051.03,Engineering and Technology,3.68
11-3051.03,Design,3.19
11-3051.03,Building and Construction,2.82
11-3051.03,Mechanical,4.04
11-3051.03,Mathematics,3.49
11-3051.03,Physics,3.28
11-3051.03,Chemistry,3.68
11-3051.03,Biology,2.98
11-3051.03,Psychology,2.65
11-3051.03,Sociology and Anthropology,1.8
11-3051.03,Geography,2.09
11-3051.03,Medicine and Dentistry,1.35
11-3051.03,Therapy and Counseling,1.4
11-3051.03,Education and Training,3.23
11-3051.03,English Language,3.23
11-3051.03,Foreign Language,1.26
11-3051.03,Fine Arts,1.03
11-3051.03,History and Archeology,1.25
11-3051.03,Philosophy and Theology,1.33
11-3051.03,Public Safety and Security,3.13
11-3051.03,Law and Government,2.5
11-3051.03,Telecommunications,1.81
11-3051.03,Communications and Media,1.98
11-3051.03,Transportation,2.66
11-3051.04,Administration and Management,3.91
11-3051.04,Clerical,3.24
11-3051.04,Economics and Accounting,3.22
11-3051.04,Sales and Marketing,1.7
11-3051.04,Customer and Personal Service,3.16
11-3051.04,Personnel and Human Resources,3.16
11-3051.04,Production and Processing,4.11
11-3051.04,Food Production,1.82
11-3051.04,Computers and Electronics,3.13
11-3051.04,Engineering and Technology,3.79
11-3051.04,Design,2.73
11-3051.04,Building and Construction,2.76
11-3051.04,Mechanical,3.99
11-3051.04,Mathematics,3.57
11-3051.04,Physics,3.53
11-3051.04,Chemistry,3.52
11-3051.04,Biology,1.9
11-3051.04,Psychology,2.8
11-3051.04,Sociology and Anthropology,1.51
11-3051.04,Geography,1.58
11-3051.04,Medicine and Dentistry,1.56
11-3051.04,Therapy and Counseling,2.18
11-3051.04,Education and Training,3.14
11-3051.04,English Language,3.55
11-3051.04,Foreign Language,1.53
11-3051.04,Fine Arts,1.01
11-3051.04,History and Archeology,1.04
11-3051.04,Philosophy and Theology,1.47
11-3051.04,Public Safety and Security,3.14
11-3051.04,Law and Government,3.09
11-3051.04,Telecommunications,1.83
11-3051.04,Communications and Media,2.14
11-3051.04,Transportation,2.85
11-3051.06,Administration and Management,3.92
11-3051.06,Clerical,3.2
11-3051.06,Economics and Accounting,2.76
11-3051.06,Sales and Marketing,1.63
11-3051.06,Customer and Personal Service,2.73
11-3051.06,Personnel and Human Resources,3.58
11-3051.06,Production and Processing,3.11
11-3051.06,Food Production,1.03
11-3051.06,Computers and Electronics,3.6
11-3051.06,Engineering and Technology,3.62
11-3051.06,Design,3.2
11-3051.06,Building and Construction,2.98
11-3051.06,Mechanical,4.07
11-3051.06,Mathematics,3.41
11-3051.06,Physics,3.13
11-3051.06,Chemistry,2.5
11-3051.06,Biology,1.72
11-3051.06,Psychology,3.02
11-3051.06,Sociology and Anthropology,2.16
11-3051.06,Geography,2.62
11-3051.06,Medicine and Dentistry,1.8
11-3051.06,Therapy and Counseling,1.86
11-3051.06,Education and Training,3.52
11-3051.06,English Language,3.82
11-3051.06,Foreign Language,1.15
11-3051.06,Fine Arts,1.03
11-3051.06,History and Archeology,1.57
11-3051.06,Philosophy and Theology,1.49
11-3051.06,Public Safety and Security,4.06
11-3051.06,Law and Government,3.27
11-3051.06,Telecommunications,2.71
11-3051.06,Communications and Media,2.39
11-3051.06,Transportation,1.79
11-3061.00,Administration and Management,4.14
11-3061.00,Clerical,3
11-3061.00,Economics and Accounting,3.67
11-3061.00,Sales and Marketing,2.76
11-3061.00,Customer and Personal Service,3.65
11-3061.00,Personnel and Human Resources,3.25
11-3061.00,Production and Processing,3.1
11-3061.00,Food Production,1.86
11-3061.00,Computers and Electronics,3.33
11-3061.00,Engineering and Technology,2.43
11-3061.00,Design,2.29
11-3061.00,Building and Construction,2.1
11-3061.00,Mechanical,2.14
11-3061.00,Mathematics,3.67
11-3061.00,Physics,1.62
11-3061.00,Chemistry,1.71
11-3061.00,Biology,1.76
11-3061.00,Psychology,2.05
11-3061.00,Sociology and Anthropology,1.71
11-3061.00,Geography,2.1
11-3061.00,Medicine and Dentistry,1.43
11-3061.00,Therapy and Counseling,1.38
11-3061.00,Education and Training,3.05
11-3061.00,English Language,4.05
11-3061.00,Foreign Language,1.67
11-3061.00,Fine Arts,1.19
11-3061.00,History and Archeology,1.33
11-3061.00,Philosophy and Theology,1.38
11-3061.00,Public Safety and Security,2.19
11-3061.00,Law and Government,3.14
11-3061.00,Telecommunications,2.48
11-3061.00,Communications and Media,2.52
11-3061.00,Transportation,2.71
11-3071.01,Administration and Management,4.27
11-3071.01,Clerical,3.43
11-3071.01,Economics and Accounting,3.04
11-3071.01,Sales and Marketing,2.83
11-3071.01,Customer and Personal Service,4.19
11-3071.01,Personnel and Human Resources,3.67
11-3071.01,Production and Processing,2.84
11-3071.01,Food Production,1.91
11-3071.01,Computers and Electronics,3.36
11-3071.01,Engineering and Technology,2.44
11-3071.01,Design,1.87
11-3071.01,Building and Construction,1.8
11-3071.01,Mechanical,2.23
11-3071.01,Mathematics,3.58
11-3071.01,Physics,1.47
11-3071.01,Chemistry,1.84
11-3071.01,Biology,1.65
11-3071.01,Psychology,2.72
11-3071.01,Sociology and Anthropology,2.02
11-3071.01,Geography,3.04
11-3071.01,Medicine and Dentistry,1.31
11-3071.01,Therapy and Counseling,2.15
11-3071.01,Education and Training,3.09
11-3071.01,English Language,3.56
11-3071.01,Foreign Language,1.56
11-3071.01,Fine Arts,1.04
11-3071.01,History and Archeology,1.33
11-3071.01,Philosophy and Theology,1.58
11-3071.01,Public Safety and Security,3.86
11-3071.01,Law and Government,3
11-3071.01,Telecommunications,2.71
11-3071.01,Communications and Media,2.54
11-3071.01,Transportation,4.57
11-3071.02,Administration and Management,4.08
11-3071.02,Clerical,3.5
11-3071.02,Economics and Accounting,3.43
11-3071.02,Sales and Marketing,3.13
11-3071.02,Customer and Personal Service,4.08
11-3071.02,Personnel and Human Resources,3.61
11-3071.02,Production and Processing,3.36
11-3071.02,Food Production,2.35
11-3071.02,Computers and Electronics,3.54
11-3071.02,Engineering and Technology,2.74
11-3071.02,Design,2.18
11-3071.02,Building and Construction,2.52
11-3071.02,Mechanical,2.59
11-3071.02,Mathematics,3.7
11-3071.02,Physics,1.74
11-3071.02,Chemistry,2
11-3071.02,Biology,1.57
11-3071.02,Psychology,2.74
11-3071.02,Sociology and Anthropology,2.35
11-3071.02,Geography,2.78
11-3071.02,Medicine and Dentistry,1.7
11-3071.02,Therapy and Counseling,2
11-3071.02,Education and Training,3.12
11-3071.02,English Language,3.88
11-3071.02,Foreign Language,2.04
11-3071.02,Fine Arts,1.39
11-3071.02,History and Archeology,1.78
11-3071.02,Philosophy and Theology,1.96
11-3071.02,Public Safety and Security,3.46
11-3071.02,Law and Government,3.04
11-3071.02,Telecommunications,2.83
11-3071.02,Communications and Media,2.48
11-3071.02,Transportation,4.42
11-3071.03,Administration and Management,4.07
11-3071.03,Clerical,2.41
11-3071.03,Economics and Accounting,3.24
11-3071.03,Sales and Marketing,2.4
11-3071.03,Customer and Personal Service,3.67
11-3071.03,Personnel and Human Resources,3.37
11-3071.03,Production and Processing,3.37
11-3071.03,Food Production,1.83
11-3071.03,Computers and Electronics,2.66
11-3071.03,Engineering and Technology,2.21
11-3071.03,Design,2.04
11-3071.03,Building and Construction,1.79
11-3071.03,Mechanical,2.17
11-3071.03,Mathematics,3.5
11-3071.03,Physics,1.55
11-3071.03,Chemistry,1.67
11-3071.03,Biology,1.24
11-3071.03,Psychology,2.64
11-3071.03,Sociology and Anthropology,2
11-3071.03,Geography,2.97
11-3071.03,Medicine and Dentistry,1.33
11-3071.03,Therapy and Counseling,1.9
11-3071.03,Education and Training,3.1
11-3071.03,English Language,3.97
11-3071.03,Foreign Language,2
11-3071.03,Fine Arts,1.13
11-3071.03,History and Archeology,1.53
11-3071.03,Philosophy and Theology,1.63
11-3071.03,Public Safety and Security,3.14
11-3071.03,Law and Government,3.28
11-3071.03,Telecommunications,2.25
11-3071.03,Communications and Media,2.69
11-3071.03,Transportation,4.39
11-3111.00,Administration and Management,4.1
11-3111.00,Clerical,2.43
11-3111.00,Economics and Accounting,3.33
11-3111.00,Sales and Marketing,1.81
11-3111.00,Customer and Personal Service,3.52
11-3111.00,Personnel and Human Resources,4.43
11-3111.00,Production and Processing,1.33
11-3111.00,Food Production,1.05
11-3111.00,Computers and Electronics,2.95
11-3111.00,Engineering and Technology,1.05
11-3111.00,Design,1.43
11-3111.00,Building and Construction,1
11-3111.00,Mechanical,1.05
11-3111.00,Mathematics,3.52
11-3111.00,Physics,1
11-3111.00,Chemistry,1
11-3111.00,Biology,1.05
11-3111.00,Psychology,2.52
11-3111.00,Sociology and Anthropology,2
11-3111.00,Geography,1.19
11-3111.00,Medicine and Dentistry,1.57
11-3111.00,Therapy and Counseling,1.71
11-3111.00,Education and Training,2.43
11-3111.00,English Language,3.62
11-3111.00,Foreign Language,1.33
11-3111.00,Fine Arts,1
11-3111.00,History and Archeology,1.19
11-3111.00,Philosophy and Theology,1.33
11-3111.00,Public Safety and Security,2
11-3111.00,Law and Government,3.45
11-3111.00,Telecommunications,1.33
11-3111.00,Communications and Media,2.48
11-3111.00,Transportation,1.14
11-3121.00,Administration and Management,4.58
11-3121.00,Clerical,2.96
11-3121.00,Economics and Accounting,2.58
11-3121.00,Sales and Marketing,2.38
11-3121.00,Customer and Personal Service,3.88
11-3121.00,Personnel and Human Resources,4.92
11-3121.00,Production and Processing,2.33
11-3121.00,Food Production,1.29
11-3121.00,Computers and Electronics,2.7
11-3121.00,Engineering and Technology,1.39
11-3121.00,Design,1.35
11-3121.00,Building and Construction,1.18
11-3121.00,Mechanical,1.17
11-3121.00,Mathematics,2.96
11-3121.00,Physics,1.08
11-3121.00,Chemistry,1.21
11-3121.00,Biology,1.23
11-3121.00,Psychology,3.26
11-3121.00,Sociology and Anthropology,2.78
11-3121.00,Geography,1.48
11-3121.00,Medicine and Dentistry,1.54
11-3121.00,Therapy and Counseling,2.65
11-3121.00,Education and Training,3.96
11-3121.00,English Language,4.21
11-3121.00,Foreign Language,1.67
11-3121.00,Fine Arts,1.21
11-3121.00,History and Archeology,1.71
11-3121.00,Philosophy and Theology,2.12
11-3121.00,Public Safety and Security,2.62
11-3121.00,Law and Government,4.08
11-3121.00,Telecommunications,1.79
11-3121.00,Communications and Media,2.83
11-3121.00,Transportation,1.46
11-3131.00,Administration and Management,4
11-3131.00,Clerical,3.04
11-3131.00,Economics and Accounting,2.19
11-3131.00,Sales and Marketing,2.63
11-3131.00,Customer and Personal Service,4
11-3131.00,Personnel and Human Resources,3.67
11-3131.00,Production and Processing,2.33
11-3131.00,Food Production,1.26
11-3131.00,Computers and Electronics,3.22
11-3131.00,Engineering and Technology,1.7
11-3131.00,Design,2.35
11-3131.00,Building and Construction,1.33
11-3131.00,Mechanical,1.41
11-3131.00,Mathematics,2.62
11-3131.00,Physics,1.22
11-3131.00,Chemistry,1.22
